_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
4929298,5661,TR-05771,5,Jedburgh Rd,Lawrence Ave W,North,Jedburgh Rd,East,T5380,8.0,,LC,Existing,Provincial,0TS13524,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4054693369, 43.7245427347)}"
4929299,5662,TR-05770,448,Lawrence Ave W,Lawrence Ave W,North,Welland Ave,East,T5411,8.0,,KF2,Existing,Provincial,TS13532P,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4262949558, 43.7201048557)}"
4929300,5663,TR-07102,525,Avenue Rd,Avenue Rd,East,St Clair Ave W,North,T70,12.0,,DIG-FE,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4014158348, 43.686896112)}"
4929301,5664,TR-07098,25,Harbord St,Harbord St,South,George St,West,T7819,11.0,,DIG-RE,Existing,Provincial,DST0070,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3986167171, 43.6638709936)}"
4929302,5665,TR-07201,,,Arcot Blvd,South,Albion Rd,East,T11269,1.0,,LKN,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5514101245, 43.7269415588)}"
4929303,5667,TR-07205,,,Tandridge Cres,East,Arcot Blvd,North,T11270,1.0,,LKN,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5495847552, 43.7280400574)}"
4929304,5669,TR-07216,,,The East Mall,East,Gibbs Rd,North,T2215,2.0,,LKN,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5570107336, 43.6385359395)}"
4929305,5671,TR-07200,,,Huntingwood Dr,South,Dunmurray Blvd,East,T15846,22.0,,LCN,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3060388279, 43.7894979344)}"
4929306,5673,TR-07203,,,Tandridge Cres,North,Byng Ave,East,T11266,1.0,,LKN,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5489963636, 43.7274317643)}"
4929307,5680,TR-06909,,Humberline Dr,Humberline Dr,North,Humber College Blvd,West,T12064,1.0,,LKN,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.6097218888, 43.7319818803)}"
4929308,5681,TR-06886,,McNicoll Ave,McNicoll Ave,North,Silver Star Blvd,East,T15007,22.0,,LKN,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2946888251, 43.8140514172)}"
4929309,5682,TR-06805,3051,Bayview Ave,Bayview Ave,East,McKee Ave,South,T306,17.0,,LK,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3904296814, 43.7778864654)}"
4929310,5684,TR-06899,,Islington Ave,Islington Ave,East,Milady Rd,South,T3816,7.0,,LCN,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.568098747, 43.7521350985)}"
4929311,5688,TR-06816,,Wynford Heights Cres,Wynford Heights Cres,North,Wynford Dr,East,T11191,16.0,,RN1,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.326869231, 43.7275943351)}"
4929312,5689,TR-06875,,Waterbury Dr,Waterbury Dr,South,Martin Grove Rd,West,T6158,1.0,,LKN,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5693891267, 43.6876640045)}"
4929313,5690,TR-06864,,Cummer Ave,Cummer Ave,South,Craigmont Dr,West,T1808,17.0,,LKN,Temporarily Removed,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3791467704, 43.7971441461)}"
4929314,5693,TR-06904,,,Steeles Ave W,North,Highway 27 N,East,T10855,1.0,,C,Existing,Enseicom,,,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.6112233764, 43.7562266708)}"
4929315,5694,TR-06912,,,Claireville Dr,South,Humberline Dr,West,T14918,1.0,,LKN,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.6188775518, 43.7379108161)}"
4929316,5695,TR-03352,755,Steeles Ave W,Steeles Ave W,South,Village Gt,West,T1603,18.0,,LC,Existing,Provincial,00TS9284,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4411895047, 43.7932829813)}"
4929317,5697,TR-03382,,,Bathurst St,Centre East,Niagara St,South,T15224A,10.0,,Q,Existing,Provincial,TS12286R,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4017170255, 43.641570886)}"
4929318,5698,SH-02150,40,Dancy Ave,Kennedy Rd,West,Dancy Ave,North,T4078,22.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2990936786, 43.8054496956)}"
